start_s,end_s,vertiport,waiting_passengers
47865.59531838536,47882.426753663545,LYBE,3
47882.426753663545,47996.76825815561,LYBE,1
47996.76825815561,48462.41160065811,LYBE,2
48462.41160065811,48616.130371121886,LYBE,1
48616.130371121886,49071.55408829247,LYBE,2
49071.55408829247,49097.58317143745,LYBE,3
49097.58317143745,49281.75609436852,LYBE,4
49149.79057519288,49893.98572454773,JUG,1
49281.75609436852,49620.276576470955,LYBE,3
49593.990616869174,49676.34847888427,BW,3
49620.276576470955,49893.98572454773,LYBE,2
49676.34847888427,49893.98572454773,BW,4
49893.98572454774,49997.83674849815,LYBE,2
49893.98572454774,51891.45346562218,EXPO,0
49893.98572454774,50341.48470800391,BW,4
49893.98572454774,50868.879841879505,JUG,1
49893.98572454774,50269.307122918435,DOR,0
49893.98572454774,50662.38544333992,LYBV,0
49997.83674849815,50038.99321625003,LYBE,1
50038.99321625003,50390.43391254774,LYBE,2
50269.307122918435,51891.45346562218,DOR,1
50341.48470800391,50886.57712522778,BW,5
50390.43391254774,51331.843123896884,LYBE,1
50662.38544333992,51375.5108939951,LYBV,1
50868.879841879505,51218.10558776272,JUG,2
50886.57712522778,51057.42065098793,BW,1
51057.42065098793,51891.45346562218,BW,2
51218.10558776272,51891.45346562218,JUG,3
51331.843123896884,51800.089715013106,LYBE,0
51375.5108939951,51891.45346562218,LYBV,2
51800.089715013106,51891.45346562218,LYBE,1
51891.45346562219,52700.089715013106,LYBE,1
51891.45346562219,77872.83616863024,EXPO,0
51891.45346562219,51978.93091720188,BW,2
51891.45346562219,52491.72609002651,JUG,3
51891.45346562219,52848.03022362219,DOR,1
51891.45346562219,53557.563276277026,LYBV,2
51978.93091720188,53801.69801594381,BW,0
52491.72609002651,55632.53522227984,JUG,0
52700.089715013106,55709.927771648814,LYBE,0
52848.03022362219,54865.099825708356,DOR,0
53557.563276277026,54134.32072435531,LYBV,0
53801.69801594381,54701.69801594381,BW,1
54134.32072435531,54675.52211769849,LYBV,1
54675.52211769849,55034.32072435531,LYBV,2
54701.69801594381,55295.17206431417,BW,0
54865.099825708356,55084.326103521,DOR,1
55034.32072435531,56283.91491629288,LYBV,0
55084.326103521,55765.099825708356,DOR,2
55295.17206431417,56138.31164700396,BW,1
