scenario,fleet_size,origin,destination,metric,n,mean,std,ci_low,ci_high,confidence
low,4,LYBE,JUG,boarded_passengers,2,25.0,1.4142135623730951,12.293795263825341,37.706204736174655,0.95
low,4,LYBE,JUG,completed_journeys,2,25.0,1.4142135623730951,12.293795263825341,37.706204736174655,0.95
low,4,LYBE,JUG,extra_after_boarding_min_max,2,4.927245565229411,1.5425751328544834,-8.932242124940247,18.78673325539907,0.95
low,4,LYBE,JUG,extra_after_boarding_min_mean,2,0.8631566520797234,0.2827545523520734,-1.6772922078803905,3.403605512039837,0.95
low,4,LYBE,JUG,extra_after_boarding_min_p95,2,4.821203191030456,1.6489197656668515,-9.993753116509724,19.636159498570635,0.95
low,4,LYBE,JUG,fraction_boarding_within_wait_limit,2,0.7644230769230769,0.1563793843008711,-0.6405899467885439,2.1694361006346976,0.95
low,4,LYBE,JUG,generated_passengers,2,25.0,1.4142135623730951,12.293795263825341,37.706204736174655,0.95
low,4,LYBE,JUG,journey_duration_min_max,2,39.94184070651585,6.398074041711104,-17.542573850200597,97.42625526323229,0.95
low,4,LYBE,JUG,journey_duration_min_mean,2,30.177254204529355,1.040929368940637,20.824874882510457,39.52963352654825,0.95
low,4,LYBE,JUG,journey_duration_min_p95,2,37.582367654197384,4.6156465066834,-3.8875708785066365,79.0523061869014,0.95
low,4,LYBE,JUG,on_time_passengers,2,19.0,2.8284271247461903,-6.412409472349317,44.41240947234932,0.95
low,4,LYBE,JUG,wait_to_boarding_min_max,2,21.93153088299138,4.704282489443414,-20.334770358928168,64.19783212491093,0.95
