scenario,fleet_size,stage,scope,causes,metric,n,mean,std,ci_low,ci_high,confidence
low,4,before_boarding,selected_plan,group_formation|origin_tlof,fraction_of_late_passengers_exposed,2,0.04307692307692308,0.0043514263457633704,0.003980908504077972,0.08217293764976819,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,late_passengers_exposed,2,2.5,0.7071067811865476,-3.8531023680873293,8.85310236808733,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,observed_passenger_minutes,2,6.908088725274213,4.2429636039345775,-31.21342677572568,45.0296042262741,0.95
low,4,before_boarding,selected_plan,group_formation|origin_tlof,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,exposed_passengers,2,108.5,19.091883092036785,-63.03376393835791,280.0337639383579,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,fraction_of_late_passengers_exposed,2,0.34923076923076923,0.01522999221017177,0.21239471822581157,0.4860668202357269,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,late_passengers_exposed,2,20.0,2.8284271247461903,-5.412409472349317,45.41240947234932,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,observed_passenger_minutes,2,509.97851374284505,104.4679744589229,-428.6289972904493,1448.5860247761393,0.95
low,4,before_boarding,selected_plan,group_formation|repositioning_flight,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,origin_tlof,exposed_passengers,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,before_boarding,selected_plan,origin_tlof,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,origin_tlof,fraction_of_late_passengers_exposed,2,0.027692307692307693,0.01740570538305348,-0.12869175059907273,0.1840763659836881,0.95
low,4,before_boarding,selected_plan,origin_tlof,late_passengers_blocked_after_limit,2,1.0,0.0,1.0,1.0,0.95
low,4,before_boarding,selected_plan,origin_tlof,late_passengers_exposed,2,1.5,0.7071067811865476,-4.853102368087329,7.853102368087329,0.95
low,4,before_boarding,selected_plan,origin_tlof,observed_passenger_minutes,2,1.0813348805342684,1.2378378333653348,-10.0401968027925,12.202866563861036,0.95
low,4,before_boarding,selected_plan,origin_tlof,overdue_passenger_minutes,2,0.5921802789052284,0.5460687616443378,-4.314052888481003,5.49841344629146,0.95
low,4,before_boarding,selected_plan,repositioning_flight,exposed_passengers,2,54.0,28.284271247461902,-200.1240947234932,308.12409472349316,0.95
low,4,before_boarding,selected_plan,repositioning_flight,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,before_boarding,selected_plan,repositioning_flight,fraction_of_late_passengers_exposed,2,0.6253846153846154,0.29045770857970493,-1.9842743573527952,3.235043588122026,0.95
low,4,before_boarding,selected_plan,repositioning_flight,late_passengers_blocked_after_limit,2,37.0,22.627416997969522,-166.29927577879454,240.29927577879454,0.95
low,4,before_boarding,selected_plan,repositioning_flight,late_passengers_exposed,2,37.5,23.33452377915607,-172.15237814688186,247.15237814688186,0.95
low,4,before_boarding,selected_plan,repositioning_flight,observed_passenger_minutes,2,233.6376112180456,125.22647926655182,-891.4776657710486,1358.7528882071397,0.95
low,4,before_boarding,selected_plan,repositioning_flight,overdue_passenger_minutes,2,151.1866579645416,99.4180705330193,-742.0492664231883,1044.4225823522715,0.95
low,4,departure_preparation,committed_flight,departure_preparation,exposed_passengers,2,238.0,1.4142135623730951,225.29379526382533,250.70620473617467,0.95
low,4,departure_preparation,committed_flight,departure_preparation,extra_after_boarding_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
low,4,departure_preparation,committed_flight,departure_preparation,fraction_of_late_passengers_exposed,2,1.0,0.0,1.0,1.0,0.95
low,4,departure_preparation,committed_flight,departure_preparation,late_passengers_blocked_after_limit,2,0.0,0.0,0.0,0.0,0.95
low,4,departure_preparation,committed_flight,departure_preparation,late_passengers_exposed,2,57.5,10.606601717798213,-37.796535521309934,152.79653552130992,0.95
low,4,departure_preparation,committed_flight,departure_preparation,observed_passenger_minutes,2,237.9999999999999,1.4142135623729342,225.29379526382667,250.7062047361731,0.95
low,4,departure_preparation,committed_flight,departure_preparation,overdue_passenger_minutes,2,0.0,0.0,0.0,0.0,0.95
