scenario,fleet_size,vertiport,resource_kind,metric,n,mean,std,ci_low,ci_high,confidence
low,4,LYBV,cleaner,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBV,cleaner,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBV,cleaner,utilization,2,0.015183040437906067,0.004089768254136097,-0.02156206945438007,0.051928150330192206,0.95
low,4,LYBV,movement,busy_unit_minutes,2,47.16666666666667,1.6499158227686126,32.34276114112956,61.990572192203786,0.95
low,4,LYBV,movement,capacity,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBV,movement,fully_occupied_minutes,2,47.16666666666667,1.6499158227686126,32.34276114112956,61.990572192203786,0.95
low,4,LYBV,movement,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBV,movement,peak_occupied_units,2,1.0,0.0,1.0,1.0,0.95
low,4,LYBV,movement,utilization,2,0.028709247765722826,0.0014062016179423108,0.01607502749425771,0.04134346803718794,0.95
low,4,LYBV,stand,busy_unit_minutes,2,443.72916392920376,17.567395489203705,285.8923776713972,601.5659501870103,0.95
low,4,LYBV,stand,capacity,2,2.0,0.0,2.0,2.0,0.95
low,4,LYBV,stand,fully_occupied_minutes,2,3.683146625199379,1.0445766620387726,-5.702002325163335,13.068295575562093,0.95
low,4,LYBV,stand,observed_minutes,2,1643.4724649619507,23.0287404915528,1436.5674406522558,1850.3774892716456,0.95
low,4,LYBV,stand,peak_occupied_units,2,2.0,0.0,2.0,2.0,0.95
low,4,LYBV,stand,utilization,2,0.1350481467300612,0.007236924696386047,0.07002695806442695,0.2000693353956955,0.95
